institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
Panya Society,Pack สอบติด คอร์ส คณิตศาสตร์ A-Level + TGAT,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),265.0,5490.0,20.72,https://panyasociety.com/course/preview/133
Panya Society,สอวน. เคมีโอลิมปิก,,เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),45.0,2990.0,66.44,https://panyasociety.com/course/preview/168
Panya Society,สอวน. ฟิสิกส์โอลิมปิก,,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),51.0,2990.0,58.63,https://panyasociety.com/course/preview/127
Panya Society,Pack สอบติด คอร์ส คณิตศาสตร์ 2 A-Level + TGAT,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),123.0,3990.0,32.44,https://panyasociety.com/course/preview/134
Panya Society,Pack FAST ฟิสิกส์ + เคมี A-Level,,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),21.0,2990.0,142.38,https://panyasociety.com/course/preview/153
Panya Society,คณิตศาสตร์เสริม ม.5 เทอม 2 คิดคล่อง ไม่ท่องจำ ทำโจทย์ได้ โดย อ.นอต,,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),25.0,1990.0,79.6,https://panyasociety.com/course/preview/64
Panya Society,ฟิสิกส์ ม.4 เทอม 2 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),45.0,1990.0,44.22,https://panyasociety.com/course/preview/59
Panya Society,Pack สอบติด TCAS ภาษาไทย สังคม และ TGAT,,ความถนัด/TGAT/TPAT,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),161.0,5490.0,34.1,https://panyasociety.com/course/preview/92
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ เคมี และ คณิตศาสตร์ A-Level + TPAT3 + TGAT โดยวิศวกรตัวจริง,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),497.0,12990.0,26.14,https://panyasociety.com/course/preview/177
Panya Society,คณิตศาสตร์เสริม ม.6 เทอม 2 คิดคล่อง ไม่ท่องจำ ทำโจทย์ได้ โดย อ.นอต,,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),42.0,1990.0,47.38,https://panyasociety.com/course/preview/78
Panya Society,ฟิสิกส์ ม.6 เทอม 1 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),41.0,1990.0,48.54,https://panyasociety.com/course/preview/13
Panya Society,● TGAT Eng + A-Level Eng ●,N/A,ภาษาอังกฤษ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),0.0,5000.0,0.0,https://panyasociety.com/course/preview/65
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ A-Level + TPAT3 โดยวิศวกรตัวจริง,,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),144.0,4990.0,34.65,https://panyasociety.com/course/preview/125
Panya Society,เคมี ม. 5 เทอม 2 วิเคราะห์เก่ง แก้โจทย์เป็น เห็นเป็นภาพ โดยอาจารย์นัท,,เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),12.0,1990.0,165.83,https://panyasociety.com/course/preview/107
Panya Society,FAST เคมี A-Level,,เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),10.0,1990.0,199.0,https://panyasociety.com/course/preview/146
Panya Society,Pack สอบติด TCAS ฟิสิกส์ + เคมี A-Level,,ฟิสิกส์,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),207.0,6990.0,33.77,https://panyasociety.com/course/preview/89
Panya Society,Pack เพิ่มเกรด ม.4 - คณิตศาสตร์,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),106.0,3490.0,32.92,https://panyasociety.com/course/preview/171
Panya Society,ฟิสิกส์ ม.4 เทอม 1 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),46.0,1990.0,43.26,https://panyasociety.com/course/preview/15
