institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 11] แสงเชิงรังสี (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,14.0,1490.0,106.43,https://www.physicsblueprint.com/courses/p011-70/
Physics Blueprint,PACK พิชิตฟิสิกส์ ม.5 (เล่ม 1+2) (70),ครูพี่ตั้ว,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,78.0,3990.0,51.15,https://www.physicsblueprint.com/courses/m500-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 8] การเคลื่อนที่แบบ SHM (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,10.0,590.0,59.0,https://www.physicsblueprint.com/courses/p008-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 13] ไฟฟ้าสถิต (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,14.0,1390.0,99.29,https://www.physicsblueprint.com/courses/p013-70/
Physics Blueprint,ENTRANCE (TCAS) PHYSICS PACK รวมเนื้อหาฟิสิกส์ ม.ปลาย (อัพเดต TCAS70),ครูพี่ตั้ว,ฟิสิกส์,ติวสอบ A-Level/TCAS,วิดีโอออนไลน์,238.0,6890.0,28.95,https://www.physicsblueprint.com/courses/a100-70/
Physics Blueprint,พิชิต TPAT3 เล่ม 1 IQ & APTITUDE TEST (69),ครูพี่ตั้ว,ฟิสิกส์/ความถนัดวิศวะ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,29.0,1490.0,51.38,https://www.physicsblueprint.com/courses/b101-69/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 10] แสงเชิงคลื่น (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,8.0,590.0,73.75,https://www.physicsblueprint.com/courses/p010-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 20] ฟิสิกส์นิวเคลียร์และฟิสิกส์อนุภาค (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,8.0,850.0,106.25,https://www.physicsblueprint.com/courses/p020-70/
Physics Blueprint,MOCKTEST TGAT2,ครูพี่ตั้ว,ความถนัด/TGAT,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,8.0,299.0,37.38,https://www.physicsblueprint.com/courses/g202/
Physics Blueprint,พิชิตฟิสิกส์ ม.4 เทอม 2 (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,50.0,2790.0,55.8,https://www.physicsblueprint.com/courses/m402-70/
Physics Blueprint,ตะลุยโจทย์ร่างมาร,ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,30.0,1490.0,49.67,https://www.physicsblueprint.com/courses/a401-69/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 14] ไฟฟ้ากระแส (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,13.0,1390.0,106.92,https://www.physicsblueprint.com/courses/p014-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 15] แม่เหล็กและไฟฟ้า (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,16.0,1490.0,93.12,https://www.physicsblueprint.com/courses/p015-70/
Physics Blueprint,Pack TGAT2 + TGAT3,ครูพี่ตั้ว,ความถนัด/TGAT,คอร์สแพ็กเกจ,วิดีโอออนไลน์,40.0,1990.0,49.75,https://www.physicsblueprint.com/courses/g302-69/
Physics Blueprint,MOCKTEST TPAT3 (69),ครูพี่ตั้ว,ฟิสิกส์/ความถนัดวิศวะ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,18.0,1490.0,82.78,https://www.physicsblueprint.com/courses/b201-69/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 3] แรงและกฎการเคลื่อนที่ (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,18.0,1490.0,82.78,https://www.physicsblueprint.com/courses/p003-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 9] คลื่น (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,10.0,1190.0,119.0,https://www.physicsblueprint.com/courses/p009-70/
Physics Blueprint,พิชิต TPAT3 Pack เล่ม 1+2 (ทดลองเรียน),ครูพี่ตั้ว,ฟิสิกส์/ความถนัดวิศวะ,คอร์สแพ็กเกจ,วิดีโอออนไลน์,78.0,0.0,0.0,https://www.physicsblueprint.com/courses/pack-tpat3-freetrial/
Physics Blueprint,MOCK TEST Math 1 A-Level (68),ครูพี่ตั้ว,คณิตศาสตร์,ติวสอบ A-Level/TCAS,วิดีโอออนไลน์,26.0,890.0,34.23,https://www.physicsblueprint.com/courses/a305-68/
Physics Blueprint,พิชิตฟิสิกส์ ม.5 เทอม 1 (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,42.0,2490.0,59.29,https://www.physicsblueprint.com/courses/m501-70/
Physics Blueprint,พิชิตฟิสิกส์ ม.4 เทอม 1 (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,44.0,2490.0,56.59,https://www.physicsblueprint.com/courses/m401-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 4] สมดุลกล (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,10.0,1190.0,119.0,https://www.physicsblueprint.com/courses/p004-70/
Physics Blueprint,พิชิต TPAT3 เล่ม 2 SCIENCE & ENGINEERING SENSE (69),ครูพี่ตั้ว,ฟิสิกส์/ความถนัดวิศวะ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,49.0,2490.0,50.82,https://www.physicsblueprint.com/courses/b102-69/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 16] คลื่นแม่เหล็กไฟฟ้า (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,4.0,490.0,122.5,https://www.physicsblueprint.com/courses/p016-70/
Physics Blueprint,พิชิตฟิสิกส์ ม.6 เทอม 1 (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,44.0,2790.0,63.41,https://www.physicsblueprint.com/courses/m601-70/
Physics Blueprint,PACK พิชิต สอวน. ฟิสิกส์ (70),ครูพี่ตั้ว,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,149.0,5900.0,39.6,https://www.physicsblueprint.com/courses/o100-70/
Physics Blueprint,พิชิต TPAT3 Pack เล่ม 1+2 (69),ครูพี่ตั้ว,ฟิสิกส์/ความถนัดวิศวะ,คอร์สแพ็กเกจ,วิดีโอออนไลน์,78.0,2990.0,38.33,https://www.physicsblueprint.com/courses/b100-69/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 12] เสียง (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,9.0,1190.0,132.22,https://www.physicsblueprint.com/courses/p012-70/
Physics Blueprint,Gear Pack B Physics A-Level Speed Up + พิชิต TPAT3 2 เล่ม,ครูพี่ตั้ว,ฟิสิกส์,ติวสอบ A-Level/TCAS,วิดีโอออนไลน์,165.0,5990.0,36.3,https://www.physicsblueprint.com/courses/b403-69/
Physics Blueprint,MOCKTEST Physics A-Level (69),ครูพี่ตั้ว,ฟิสิกส์,ติวสอบ A-Level/TCAS,วิดีโอออนไลน์,8.0,990.0,123.75,https://www.physicsblueprint.com/courses/a303-69/
Physics Blueprint,PACK พิชิตฟิสิกส์ ม.4 (เล่ม 1+2) (70),ครูพี่ตั้ว,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,94.0,3990.0,42.45,https://www.physicsblueprint.com/courses/m400-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 17] ความร้อนและแก๊ส (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,12.0,1390.0,115.83,https://www.physicsblueprint.com/courses/p017-70/
Physics Blueprint,พิชิตฟิสิกส์ [บทที่ 6] โมเมนตัมและการชน (70),ครูพี่ตั้ว,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,13.0,1190.0,91.54,https://www.physicsblueprint.com/courses/p006-70/
