institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url,course_scope
SmartMathPro,PACK คณิต ม.6 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.6 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,143.0,5650.0,39.51,https://online.smartmathpro.com/product/e043/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ไทย-สังคม (V.เต็ม),"อ.ขลุ่ย, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,121.0,3390.0,28.02,https://online.smartmathpro.com/product/p021/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต) + A-Level คณิต 1 (V.เต็ม + ตะลุยโจทย์),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หมออู๋",แพ็กเกจเตรียมสอบแพทย์ (กสพท/TPAT1),คอร์สแพ็กเกจ,วิดีโอออนไลน์,433.0,12350.0,28.52,https://online.smartmathpro.com/product/c029/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK TPAT3 (V.เต็ม) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ภาษาอังกฤษ (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, พี่ฟาร์ม PhysicsFarm",แพ็กเกจเตรียมสอบวิศวะ (TPAT3),คอร์สแพ็กเกจ,วิดีโอออนไลน์,628.0,21390.0,34.06,https://online.smartmathpro.com/product/r027/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม) + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,86.0,3350.0,38.95,https://online.smartmathpro.com/product/d048/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตลำดับและอนุกรม,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,29.0,1790.0,61.72,https://online.smartmathpro.com/product/f012/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK คณิต ม.5 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.5,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,130.0,5150.0,39.62,https://online.smartmathpro.com/product/e040/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,"PACK TGAT (V.เต็ม + ตะลุยโจทย์ TGAT2,3)","พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),คอร์สแพ็กเกจ,วิดีโอออนไลน์,140.0,4790.0,34.21,https://online.smartmathpro.com/product/l031/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ไทย-สังคม (V.เต็ม + Mock Test Vol.1),"อ.ขลุ่ย, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,127.0,3690.0,29.06,https://online.smartmathpro.com/product/p024/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตสสารและความร้อน,พี่ฟาร์ม PhysicsFarm,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,28.0,1450.0,51.79,https://online.smartmathpro.com/product/x006/,Chapter (คอร์สเนื้อหาแยกบท)
