institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
Panya Society,ภาษาอังกฤษ A-Level,ตวงรัตน์ แสงโชติ (อ.ตวง),ภาษาอังกฤษ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2490.0,103.75,https://panyasociety.com/course/preview/166
Panya Society,เคมี ม. 6 วิเคราะห์เก่ง แก้โจทย์เป็น เห็นเป็นภาพ โดยอาจารย์นัท,"ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/73
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ และ คณิตศาสตร์ A-Level + TPAT3 โดยวิศวกรตัวจริง,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,7990.0,332.92,https://panyasociety.com/course/preview/128
Panya Society,Pack ฟิสิกส์ + คณิตศาสตร์ TCAS ติดอาวุธลับ UpScore,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), สุปิติ บูรณวัฒนาโชค (อ. แชร์), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/119
Panya Society,คณิตศาสตร์เสริม ม.6 เทอม 2 คิดคล่อง ไม่ท่องจำ ทำโจทย์ได้ โดย อ.นอต,ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต),คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/78
Panya Society,Pack เพิ่มเกรด ม.6 เทอม 1 - ฟิสิกส์ เคมี คณิตศาสตร์,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,4490.0,187.08,https://panyasociety.com/course/preview/88
Panya Society,สอวน. เคมีโอลิมปิก,"ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2990.0,124.58,https://panyasociety.com/course/preview/168
Panya Society,คอร์สเตรียมสอบ A,N/A,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,5000.0,208.33,https://panyasociety.com/course/preview/16
Panya Society,Pack สอบติด คอร์ส คณิตศาสตร์ 2 A-Level + TGAT,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), สุปิติ บูรณวัฒนาโชค (อ. แชร์), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ตวงรัตน์ แสงโชติ (อ.ตวง)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/134
Panya Society,TPAT3 ความถนัดด้านวิทยาศาสตร์ เทคโนโลยี และวิศวกรรมศาสตร์,"สุปิติ บูรณวัฒนาโชค (อ.แชร์), สุปิติ บูรณวัฒนาโชค (อ. แชร์)",ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2490.0,103.75,https://panyasociety.com/course/preview/124
Panya Society,คณิตศาสตร์เสริม ม.6 เทอม 1 คิดคล่อง ไม่ท่องจำ ทำโจทย์ได้ โดย อ.นอต,ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต),คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/72
Panya Society,ฟิสิกส์ ม.5 เทอม 1 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,"สุปิติ บูรณวัฒนาโชค (อ.แชร์), สุปิติ บูรณวัฒนาโชค (อ. แชร์)",ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/14
