institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
WE By The Brain,"สถิติฉบับสมบูรณ์, ตัวแปรสุ่ม และการแจกแจงความน่าจะเป็น",อ.วิเศษ กี่สุขพันธ์ (พี่เอ๋),คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),35.0,3200.0,91.43,https://store.webythebrain.com/course/mon94h26/
WE By The Brain,พืช A-Level,ดร.ณัฐชัย เก่งพิพัฒน์ (พี่บิ๊ก),ชีววิทยา,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),31.5,2700.0,85.71,https://store.webythebrain.com/course/lon94e14/
WE By The Brain,"คณิตศาสตร์ ม.6 กลุ่ม C (สถิติฉบับสมบูรณ์, ตัวแปรสุ่ม และการแจกแจงความน่าจะเป็น+ลำดับและอนุกรม+แคลคูลัส)","อ.ชวลิต กุลกีรติการ (พี่กอล์ฟ), อ.วิเศษ กี่สุขพันธ์ (พี่เอ๋)",คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),89.5,6000.0,67.04,https://store.webythebrain.com/course/mon94h64/
WE By The Brain,ฉันทลักษณ์ของร้อยกรองไทย,อ.สุรเชษฐ์ พิชิตพงศ์เผ่า (พี่ยู),ภาษาไทย,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),8.5,700.0,82.35,https://store.webythebrain.com/course/ton94p12/
WE By The Brain,ฟังก์ชันตรีโกณมิติ,"อ.มนตรี นิรมิตศิริพงศ์ (พี่ช้าง), อ.สิทธิเดช เลนุกูล (พี่ภูมิ)",คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),44.0,3100.0,70.45,https://store.webythebrain.com/course/mon94h21/
WE By The Brain,TGAT2 การคิดอย่างมีเหตุผล,"อ.ชวลิต กุลกีรติการ (พี่กอล์ฟ), อ.วิเศษ กี่สุขพันธ์ (พี่เอ๋), อ.สิทธิเดช เลนุกูล (พี่ภูมิ), อ.สุรเชษฐ์ พิชิตพงศ์เผ่า (พี่ยู)",ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),23.0,2800.0,121.74,https://store.webythebrain.com/course/gon94u12/
WE By The Brain,ความหลากหลายทางชีวภาพ,ดร.ณัฐชัย เก่งพิพัฒน์ (พี่บิ๊ก),ชีววิทยา,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),19.0,1800.0,94.74,https://store.webythebrain.com/course/lon94h36/
WE By The Brain,ชีววิทยา ม.6 เทอม 2 รวมทุกบท (กลุ่มความหลากหลายทางชีวภาพและระบบนิเวศ),ดร.ณัฐชัย เก่งพิพัฒน์ (พี่บิ๊ก),ชีววิทยา,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),36.0,3000.0,83.33,https://store.webythebrain.com/course/lon94h62/
WE By The Brain,ระบบนิเวศ,ดร.ณัฐชัย เก่งพิพัฒน์ (พี่บิ๊ก),ชีววิทยา,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),11.0,1100.0,100.0,https://store.webythebrain.com/course/lon94h37/
WE By The Brain,ฟังก์ชันเอกซ์โพเนนเชียลและลอการิทึม,อ.ชวลิต กุลกีรติการ (พี่กอล์ฟ),คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),19.0,1800.0,94.74,https://store.webythebrain.com/course/mon94h18/
WE By The Brain,การสืบพันธุ์ของพืชดอก,ผศ. ดร. เอกพันธ์ ไกรจักร์ (พี่เบียร์),ชีววิทยา,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์/สาขา),8.0,800.0,100.0,https://store.webythebrain.com/course/lon94p22/
