institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
SmartMathPro,PACK TPAT3 (V.เต็ม) + A-Level ฟิสิกส์ (V.เต็ม) + TGAT (V.เต็ม),,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),348.0,12750.0,36.64,https://online.smartmathpro.com/product/r025/
SmartMathPro,PACK A-Level ไทย-สังคม (V.รวบรัด),,อื่นๆ,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),50.0,2290.0,45.8,https://online.smartmathpro.com/product/p003/
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต) + A-Level คณิต 1 (V.เต็ม + ตะลุยโจทย์),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),433.0,12350.0,28.52,https://online.smartmathpro.com/product/c029/
SmartMathPro,พิชิต A-Level ภาษาไทย (V.เต็ม),,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),42.0,1590.0,37.86,https://online.smartmathpro.com/product/p019/
SmartMathPro,พิชิตคณิตพื้นฐาน ม.5,,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),20.0,790.0,39.5,https://online.smartmathpro.com/product/f016/
SmartMathPro,พิชิตไฟฟ้า,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),36.0,1790.0,49.72,https://online.smartmathpro.com/product/x005/
SmartMathPro,PACK คณิต ม.5 เทอม 2 + คณิต ม.6 เทอม 1+2,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),136.0,5950.0,43.75,https://online.smartmathpro.com/product/e012/
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + ตะลุยโจทย์) + ไทย-สังคม (V.เต็ม) + TGAT (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),326.0,9590.0,29.42,https://online.smartmathpro.com/product/d077/
SmartMathPro,PACK คณิต ม.5 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.5 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),156.0,6050.0,38.78,https://online.smartmathpro.com/product/e041/
SmartMathPro,PACK คณิต ม.5 เทอม 1 + พิชิตคณิตพื้นฐาน ม.5 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),117.0,4550.0,38.89,https://online.smartmathpro.com/product/e039/
SmartMathPro,พิชิตเมทริกซ์,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),13.0,850.0,65.38,https://online.smartmathpro.com/product/f009/
SmartMathPro,PACK คณิต ม.4 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.4 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),186.0,6450.0,34.68,https://online.smartmathpro.com/product/e037/
SmartMathPro,PACK A-Level ภาษาไทย (V.รวบรัด + Mock Test Vol.1),,อื่นๆ,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),23.0,1450.0,63.04,https://online.smartmathpro.com/product/p013/
SmartMathPro,PACK คณิต ม.4 เทอม 1 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),88.0,3490.0,39.66,https://online.smartmathpro.com/product/e018/
SmartMathPro,PACK คณิต ม.5 เทอม 1 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),97.0,3890.0,40.1,https://online.smartmathpro.com/product/e024/
SmartMathPro,PACK A-Level ไทย-สังคม (V.รวบรัด + ตะลุยโจทย์ + Mock Test Vol.1),,อื่นๆ,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),96.0,4290.0,44.69,https://online.smartmathpro.com/product/p017/
SmartMathPro,พิชิต TPAT1 (พาร์ตจริยธรรมแพทย์),,ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),17.0,1050.0,61.76,https://online.smartmathpro.com/product/c005/
SmartMathPro,พิชิต TPAT1 (พาร์ตเชาวน์ปัญญาคณิต),,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),35.0,1890.0,54.0,https://online.smartmathpro.com/product/c004/
SmartMathPro,พิชิตคณิตพื้นฐาน ม.6,,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),20.0,790.0,39.5,https://online.smartmathpro.com/product/f017/
SmartMathPro,PACK คณิต ม.5 เทอม 2,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),39.0,1890.0,48.46,https://online.smartmathpro.com/product/e006/
SmartMathPro,PACK คณิต ม.5 เทอม 1 + พิชิตคณิตพื้นฐาน ม.5,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),91.0,3590.0,39.45,https://online.smartmathpro.com/product/e038/
SmartMathPro,พิชิต A-Level ภาษาอังกฤษ (V.เต็ม),,ภาษาอังกฤษ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),50.0,3290.0,65.8,https://online.smartmathpro.com/product/y007/
SmartMathPro,PACK Buffet เนื้อหาคณิตม.ปลาย ม.5 – ม.6 + พิชิตคณิตพื้นฐาน ม.4-6,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),267.0,9790.0,36.67,https://online.smartmathpro.com/product/q011/
SmartMathPro,พิชิต A-Level คณิต 2 (V.เต็ม),,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),60.0,2190.0,36.5,https://online.smartmathpro.com/product/d040/
SmartMathPro,พิชิตกลศาสตร์,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),52.0,2690.0,51.73,https://online.smartmathpro.com/product/x003/
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม + ตะลุยโจทย์),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),359.0,9590.0,26.71,https://online.smartmathpro.com/product/m114/
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ชีววิทยา (V.รวบรัด),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),561.0,18750.0,33.42,https://online.smartmathpro.com/product/c031/
SmartMathPro,พิชิต A-Level ชีววิทยา (V.รวบรัด),,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),80.0,2990.0,37.38,https://online.smartmathpro.com/product/z001/
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),407.0,13050.0,32.06,https://online.smartmathpro.com/product/m120/
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ชีววิทยา (V.รวบรัด) + ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.รวบรัด),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),661.0,23450.0,35.48,https://online.smartmathpro.com/product/c032/
SmartMathPro,PACK คณิต ม.4 เทอม 2 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),104.0,3690.0,35.48,https://online.smartmathpro.com/product/e020/
SmartMathPro,PACK A-Level ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.เต็ม) + TGAT (V.เต็ม),,ภาษาอังกฤษ,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),266.0,9050.0,34.02,https://online.smartmathpro.com/product/y008/
SmartMathPro,พิชิตสถิติและการแจกแจงความน่าจะเป็น,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),39.0,1990.0,51.03,https://online.smartmathpro.com/product/f014/
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + ตะลุยโจทย์ + Mock Test Vol.1-4),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),124.0,4150.0,33.47,https://online.smartmathpro.com/product/d043/
SmartMathPro,"พิชิต TGAT2,3 (V.เต็ม)",,ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),55.0,1990.0,36.18,https://online.smartmathpro.com/product/l020/
SmartMathPro,PACK TPAT5 (V.เต็ม) + A-Level คณิต 1 (V.เต็ม) + TGAT (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),340.0,10090.0,29.68,https://online.smartmathpro.com/product/v013/
SmartMathPro,ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),26.0,1190.0,45.77,https://online.smartmathpro.com/product/k001/
SmartMathPro,พิชิตแคลคูลัส,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),29.0,1790.0,61.72,https://online.smartmathpro.com/product/f013/
SmartMathPro,PACK คณิต ม.5 เทอม 2 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),65.0,2850.0,43.85,https://online.smartmathpro.com/product/e026/
SmartMathPro,พิชิตเวกเตอร์,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),20.0,1290.0,64.5,https://online.smartmathpro.com/product/f008/
SmartMathPro,พิชิตการนับและความน่าจะเป็น,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1390.0,57.92,https://online.smartmathpro.com/product/f011/
SmartMathPro,PACK A-Level ไทย-สังคม (V.เต็ม + ตะลุยโจทย์ + Mock Test Vol.1),,อื่นๆ,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),167.0,5250.0,31.44,https://online.smartmathpro.com/product/p026/
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ชีววิทยา (V.รวบรัด) + ภาษาอังกฤษ (V.เต็ม) + TGAT (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),455.0,14490.0,31.85,https://online.smartmathpro.com/product/m125/
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),230.0,6790.0,29.52,https://online.smartmathpro.com/product/m112/
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + ตะลุยโจทย์) + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),136.0,4650.0,34.19,https://online.smartmathpro.com/product/d064/
SmartMathPro,พิชิตคลื่น แสง เสียง,,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),37.0,1590.0,42.97,https://online.smartmathpro.com/product/x004/
SmartMathPro,PACK TPAT3 (V.เต็ม) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ภาษาอังกฤษ (V.เต็ม) + TGAT (V.เต็ม),,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),628.0,21390.0,34.06,https://online.smartmathpro.com/product/r027/
SmartMathPro,PACK A-Level ฟิสิกส์ (V.เต็ม) + ชีววิทยา (V.รวบรัด),,ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),257.0,9390.0,36.54,https://online.smartmathpro.com/product/x010/
SmartMathPro,PACK Buffet เนื้อหาคณิตม.ปลาย ม.5 – ม.6 + ปรับพื้นคณิตพิชิตม.ปลาย,,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),233.0,8990.0,38.58,https://online.smartmathpro.com/product/q006/
SmartMathPro,"PACK TGAT (V.เต็ม + ตะลุยโจทย์ TGAT2,3)",,ความถนัด/TGAT/TPAT,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),140.0,4790.0,34.21,https://online.smartmathpro.com/product/l031/
